Phoenix Suns,24,244.2,38.8,82.1,.472,4.2,11.5,.361,34.6,70.6,.490,23.1,30.7,.753,12.4,29.0,41.4,23.5,7.6,8.0,13.7,22.6,104.8
Chicago Bulls,19,243.9,39.8,82.3,.484,4.2,9.6,.434,35.6,72.7,.490,18.6,25.6,.727,13.2,26.8,40.0,24.3,8.6,4.4,12.5,23.3,102.4
Seattle Supersonics,19,241.3,38.6,84.6,.456,3.5,10.4,.340,35.1,74.3,.473,19.4,25.2,.772,16.1,25.9,41.9,22.4,9.1,5.8,13.8,23.6,100.2
New York Knicks,15,246.7,38.1,79.6,.478,3.2,9.3,.345,34.9,70.3,.496,19.7,28.0,.702,14.8,29.3,44.1,24.9,8.0,4.3,17.8,26.1,99.0
Houston Rockets,12,242.1,37.4,78.4,.477,5.3,14.3,.374,32.1,64.2,.500,17.6,22.8,.773,11.3,30.2,41.5,24.8,8.4,7.2,17.7,19.8,97.8
San Antonio Spurs,10,242.5,39.3,83.9,.468,2.3,7.9,.291,37.0,76.0,.487,19.8,26.4,.750,12.8,31.5,44.3,25.3,6.3,6.3,14.0,26.6,100.7
Charlotte Hornets,9,253.9,40.3,86.6,.466,1.4,5.3,.271,38.9,81.2,.479,20.3,28.3,.718,14.3,27.2,41.6,24.0,10.1,4.9,16.2,22.4,102.4
Cleveland Cavaliers,9,240.0,36.6,78.7,.465,3.1,8.9,.350,33.4,69.8,.479,17.6,21.9,.802,11.9,26.8,38.7,23.9,8.2,5.4,15.6,19.1,93.8
Los Angeles Lakers,5,245.0,39.2,89.6,.438,4.0,12.0,.333,35.2,77.6,.454,14.6,23.2,.629,15.6,29.0,44.6,23.8,9.0,6.2,13.2,22.6,97.0
New Jersey Nets,5,240.0,37.8,79.6,.475,3.0,8.2,.366,34.8,71.4,.487,15.0,18.8,.798,11.0,28.0,39.0,21.8,8.4,6.4,17.0,20.8,93.6
Los Angeles Clippers,5,240.0,37.4,88.2,.424,2.4,5.6,.429,35.0,82.6,.424,15.0,23.2,.647,14.6,28.2,42.8,23.6,11.0,4.2,13.6,23.0,92.2
Utah Jazz,5,240.0,34.0,77.4,.439,2.0,6.4,.313,32.0,71.0,.451,17.2,23.6,.729,14.0,27.0,41.0,20.8,6.0,4.8,14.0,21.6,87.2
Indiana Pacers,4,246.3,37.0,75.0,.493,4.0,10.3,.390,33.0,64.8,.510,24.8,31.5,.786,9.5,26.5,36.0,24.0,6.0,4.0,15.5,25.3,102.8
Boston Celtics,4,252.5,42.3,89.8,.471,1.8,7.0,.250,40.5,82.8,.489,14.3,17.3,.826,14.5,27.0,41.5,21.8,4.5,6.3,14.8,21.8,100.5
Portland Trail Blazers,4,246.3,36.5,89.8,.407,2.8,9.0,.306,33.8,80.8,.418,21.5,29.8,.723,17.8,28.8,46.5,19.3,6.8,5.8,13.0,25.3,97.3
Atlanta Hawks,3,240.0,35.7,83.3,.428,3.3,12.0,.278,32.3,71.3,.453,18.7,26.3,.709,15.3,23.3,38.7,16.3,8.0,3.7,15.3,23.3,93.3
League Average,10,243.9,38.4,82.5,.465,3.4,9.7,.355,35.0,72.8,.480,19.3,26.0,.742,13.6,28.0,41.6,23.4,8.1,5.8,14.7,23.0,99.5
