Houston Rockets,20,243.8,44.7,92.3,.485,0.7,2.5,.260,44.1,89.8,.491,21.3,29.7,.715,16.9,30.5,47.3,28.5,8.6,7.5,15.2,23.1,111.3
Boston Celtics,18,242.8,43.9,86.7,.507,2.5,6.4,.391,41.4,80.3,.516,24.1,30.3,.794,12.9,32.2,45.2,28.6,9.0,6.1,15.2,22.3,114.4
Los Angeles Lakers,14,240.0,47.4,88.6,.535,1.8,5.6,.321,45.6,83.0,.550,18.9,24.9,.756,12.5,29.8,42.3,32.0,8.4,4.3,16.1,24.2,115.5
Milwaukee Bucks,14,240.0,42.1,84.7,.497,1.8,5.1,.347,40.3,79.6,.506,23.9,33.1,.721,12.9,26.6,39.5,24.1,8.9,6.1,16.5,28.5,109.8
Philadelphia 76ers,12,240.0,40.9,83.8,.489,0.3,3.1,.081,40.7,80.7,.504,27.4,37.1,.739,15.8,29.1,44.8,24.9,8.9,7.1,16.8,23.0,109.5
Denver Nuggets,10,247.5,43.8,96.1,.456,1.9,5.4,.352,41.9,90.7,.462,25.0,31.5,.794,16.6,29.3,45.9,24.7,7.2,4.4,14.4,27.3,114.5
Dallas Mavericks,10,240.0,42.6,87.1,.489,3.0,5.8,.517,39.6,81.3,.487,22.6,28.9,.782,13.9,28.0,41.9,25.0,6.6,3.1,14.2,21.5,110.8
Atlanta Hawks,9,245.6,43.4,87.8,.495,0.7,2.3,.286,42.8,85.4,.501,23.4,32.1,.730,13.3,30.1,43.4,26.1,7.3,5.1,15.3,26.0,111.0
Washington Bullets,5,240.0,40.0,86.4,.463,1.0,4.8,.208,39.0,81.6,.478,19.6,27.4,.715,14.4,24.0,38.4,21.0,8.6,8.6,15.2,22.6,100.6
Detroit Pistons,4,252.5,46.8,97.3,.481,0.3,2.0,.125,46.5,95.3,.488,22.8,31.3,.728,17.5,29.8,47.3,25.8,6.5,2.5,16.3,30.0,116.5
Portland Trail Blazers,4,240.0,43.5,87.8,.496,1.3,5.5,.227,42.3,82.3,.514,24.3,31.3,.776,13.0,31.0,44.0,28.0,7.0,4.5,19.0,31.0,112.5
Utah Jazz,4,240.0,43.3,89.8,.482,1.0,2.3,.444,42.3,87.5,.483,15.5,22.0,.705,15.5,26.8,42.3,26.0,5.8,6.3,11.0,25.0,103.0
Chicago Bulls,3,256.7,42.7,92.3,.462,0.7,2.7,.250,42.0,89.7,.468,27.0,35.0,.771,13.7,26.0,39.7,17.0,8.0,3.7,14.7,30.7,113.0
New Jersey Nets,3,240.0,39.3,84.7,.465,0.7,5.7,.118,38.7,79.0,.489,26.3,35.0,.752,15.3,24.3,39.7,22.0,9.3,4.0,17.3,32.7,105.7
Sacramento Kings,3,240.0,36.3,89.3,.407,0.7,3.3,.200,35.7,86.0,.415,22.7,29.7,.764,21.7,24.7,46.3,19.0,8.0,5.7,17.3,23.3,96.0
San Antonio Spurs,3,240.0,38.7,83.0,.466,0.7,3.3,.200,38.0,79.7,.477,14.0,21.7,.646,7.0,19.3,26.3,25.0,9.3,3.3,18.0,26.0,92.0
League Average,9,242.6,43.3,88.5,.489,1.4,4.4,.319,41.9,84.1,.498,22.7,30.4,.749,14.5,28.9,43.3,26.3,8.2,5.6,15.6,25.0,110.7
