Boston Celtics,18,244.2,42.3,94.3,.448,,,,42.3,94.3,.448,17.9,22.1,.809,13.6,34.9,48.5,25.5,6.8,2.8,18.1,23.5,102.4
Milwaukee Bucks,16,244.7,43.7,87.8,.498,,,,43.7,87.8,.498,13.6,17.9,.762,13.0,35.1,48.1,26.1,6.3,4.8,19.6,23.4,101.0
New York Knicks,12,242.1,39.2,90.3,.434,,,,39.2,90.3,.434,16.1,19.9,.808,12.0,29.8,41.8,17.7,5.9,2.6,15.6,24.6,94.4
Chicago Bulls,11,240.0,37.6,89.0,.423,,,,37.6,89.0,.423,18.7,24.0,.780,14.4,28.5,42.8,20.1,7.8,3.5,14.2,20.1,94.0
Capital Bullets,7,243.6,39.7,86.9,.457,,,,39.7,86.9,.457,15.7,21.7,.724,13.6,33.6,47.1,17.9,5.9,4.0,16.9,21.4,95.1
Detroit Pistons,7,240.0,39.1,83.0,.472,,,,39.1,83.0,.472,16.7,21.9,.765,12.9,34.1,47.0,18.6,3.6,4.4,17.9,24.7,95.0
Buffalo Braves,6,240.0,43.8,98.3,.446,,,,43.8,98.3,.446,16.3,22.2,.737,13.2,36.5,49.7,23.3,5.5,4.7,18.7,20.7,104.0
Los Angeles Lakers,5,240.0,36.8,94.6,.389,,,,36.8,94.6,.389,19.4,25.6,.758,18.8,29.0,47.8,21.4,9.8,2.8,20.6,20.6,93.0
League Average,10,242.4,40.8,90.4,.451,,,,40.8,90.4,.451,16.6,21.4,.776,13.6,32.9,46.5,22.1,6.4,3.6,17.6,22.7,98.1
