Detroit Pistons,17,240.0,37.9,80.1,.473,2.5,8.4,.296,35.4,71.7,.494,22.4,29.4,.762,13.8,30.4,44.2,22.6,4.9,4.5,12.1,25.0,100.6
Chicago Bulls,17,242.9,36.6,78.1,.469,4.3,12.2,.353,32.4,65.9,.491,22.1,29.1,.759,12.2,29.0,41.2,23.5,7.8,4.2,15.9,26.4,99.6
Los Angeles Lakers,15,240.0,40.0,80.5,.497,3.4,9.7,.349,36.6,70.8,.517,27.1,34.7,.781,12.5,29.6,42.1,25.4,6.9,4.9,14.7,22.5,110.5
Phoenix Suns,12,240.0,45.0,95.1,.473,2.8,8.8,.314,42.3,86.3,.489,25.6,30.4,.841,16.9,33.4,50.3,27.5,9.3,4.6,15.8,22.8,118.3
New York Knicks,9,245.6,40.4,85.0,.476,4.3,12.1,.358,36.1,72.9,.495,21.6,29.7,.727,15.2,28.0,43.2,26.1,7.9,4.0,16.1,25.6,106.8
Golden State Warriors,8,240.0,42.8,93.9,.455,2.6,12.8,.206,40.1,81.1,.495,21.8,26.5,.821,14.1,29.0,43.1,20.0,9.8,8.5,14.5,24.3,109.9
Milwaukee Bucks,9,245.6,36.2,78.3,.462,2.3,7.9,.296,33.9,70.4,.481,22.4,26.8,.838,10.7,25.1,35.8,23.2,5.7,2.1,11.2,26.2,97.2
Seattle Supersonics,8,240.0,39.9,87.9,.454,2.6,10.0,.263,37.3,77.9,.478,19.6,27.6,.710,17.4,26.4,43.8,23.3,8.6,7.5,15.8,27.3,102.0
Atlanta Hawks,5,250.0,35.4,78.6,.450,2.6,9.2,.283,32.8,69.4,.473,29.8,38.6,.772,15.2,26.4,41.6,25.6,5.4,5.8,13.2,24.0,103.2
Cleveland Cavaliers,5,245.0,36.4,77.6,.469,2.2,6.6,.333,34.2,71.0,.482,22.2,31.0,.716,12.4,27.8,40.2,23.0,7.6,7.4,15.6,21.0,97.2
Houston Rockets,4,240.0,40.0,84.8,.472,2.8,7.3,.379,37.3,77.5,.481,23.8,32.5,.731,12.8,26.5,39.3,24.3,9.3,5.3,16.5,25.0,106.5
Denver Nuggets,3,240.0,43.3,94.7,.458,5.3,13.0,.410,38.0,81.7,.465,20.7,25.7,.805,12.0,32.3,44.3,24.0,7.7,1.7,16.7,29.0,112.7
Portland Trail Blazers,3,240.0,42.7,94.0,.454,3.0,9.7,.310,39.7,84.3,.470,18.7,24.7,.757,17.7,23.7,41.3,27.0,7.0,5.3,13.3,24.7,107.0
Philadelphia 76ers,3,248.3,42.7,88.3,.483,1.3,7.0,.190,41.3,81.3,.508,19.0,27.0,.704,10.7,29.3,40.0,29.0,6.7,4.7,12.3,25.0,105.7
Utah Jazz,3,240.0,38.3,89.7,.428,4.0,11.3,.353,34.3,78.3,.438,24.7,29.7,.831,18.0,32.0,50.0,18.0,7.0,5.0,18.7,26.0,105.3
Boston Celtics,3,240.0,37.0,83.3,.444,0.0,2.7,.000,37.0,80.7,.459,16.3,22.3,.731,9.7,30.3,40.0,21.7,6.7,2.3,14.0,24.0,90.3
League Average,8,242.0,39.4,84.1,.469,3.0,9.7,.314,36.4,74.4,.489,23.0,29.7,.773,13.8,29.0,42.8,24.1,7.3,4.9,14.6,24.8,104.9
