Portland Trail Blazers,21,244.8,39.3,88.4,.445,3.1,9.3,.333,36.2,79.1,.458,25.4,34.9,.727,15.5,28.7,44.2,23.5,8.7,5.4,16.0,26.7,107.1
Detroit Pistons,20,241.3,38.6,81.9,.471,3.1,8.4,.369,35.5,73.5,.482,21.6,28.7,.751,14.0,29.8,43.7,21.1,6.7,4.5,15.1,25.1,101.8
Phoenix Suns,16,240.0,39.7,83.3,.477,2.3,7.2,.313,37.4,76.1,.492,26.5,33.6,.790,12.3,31.6,43.9,23.0,6.7,4.9,15.5,23.3,108.1
Chicago Bulls,16,240.0,38.1,81.4,.469,2.7,8.9,.303,35.4,72.5,.489,22.9,30.2,.760,13.1,27.1,40.1,22.8,8.6,4.3,14.4,25.6,101.9
San Antonio Spurs,10,247.5,47.9,95.3,.503,0.5,2.9,.172,47.4,92.4,.513,20.7,29.5,.702,15.6,32.7,48.3,30.4,8.5,6.2,16.8,27.7,117.0
New York Knicks,10,240.0,40.3,84.5,.477,2.5,6.9,.362,37.8,77.6,.487,21.9,28.5,.768,13.0,26.4,39.4,26.8,8.4,3.4,13.3,23.1,105.0
Philadelphia 76ers,10,240.0,37.9,79.9,.474,2.6,8.2,.317,35.3,71.7,.492,23.7,30.8,.769,12.8,27.1,39.9,22.8,6.3,4.9,15.0,21.6,102.1
Los Angeles Lakers,9,240.0,40.3,80.9,.499,2.8,9.6,.291,37.6,71.3,.526,22.7,28.3,.800,12.4,27.8,40.2,25.0,8.7,5.7,15.8,23.4,106.1
Boston Celtics,5,240.0,45.6,83.2,.548,1.6,6.8,.235,44.0,76.4,.576,26.0,30.2,.861,11.8,28.2,40.0,30.2,6.8,6.0,17.4,21.2,118.8
Cleveland Cavaliers,5,240.0,40.2,77.8,.517,2.2,7.0,.314,38.0,70.8,.537,24.2,31.2,.776,9.2,31.6,40.8,27.4,6.6,4.6,13.0,22.2,106.8
Utah Jazz,5,240.0,40.4,87.6,.461,3.2,9.6,.333,37.2,78.0,.477,18.4,25.4,.724,13.0,27.6,40.6,25.4,8.6,5.8,12.8,28.4,102.4
Milwaukee Bucks,4,240.0,35.0,73.3,.478,3.8,10.8,.349,31.3,62.5,.500,27.3,35.5,.768,10.0,23.5,33.5,22.5,9.0,4.8,17.0,29.8,101.0
Houston Rockets,4,240.0,38.3,84.5,.453,2.8,10.0,.275,35.5,74.5,.477,18.5,27.8,.667,15.3,23.8,39.0,22.8,9.0,6.5,14.5,21.8,97.8
Denver Nuggets,3,240.0,43.3,98.7,.439,2.7,10.7,.250,40.7,88.0,.462,25.0,28.7,.872,13.0,31.0,44.0,28.7,9.3,4.7,12.7,25.7,114.3
Dallas Mavericks,3,240.0,38.3,81.0,.473,3.0,9.7,.310,35.3,71.3,.495,20.7,27.0,.765,11.3,28.7,40.0,20.3,8.0,5.7,18.0,27.3,100.3
Indiana Pacers,3,240.0,35.0,76.0,.461,1.7,7.7,.217,33.3,68.3,.488,20.0,24.3,.822,11.0,25.3,36.3,17.3,3.7,2.3,14.7,25.7,91.7
League Average,9,241.4,39.9,84.0,.475,2.6,8.1,.316,37.3,75.9,.492,23.2,30.5,.761,13.3,28.7,42.0,24.1,7.8,5.0,15.2,24.9,105.5
