Los Angeles Lakers,19,242.6,38.3,79.3,.483,3.4,9.9,.340,34.9,69.4,.503,23.8,30.2,.789,11.5,27.8,39.3,23.1,7.1,4.8,14.7,20.4,103.8
Chicago Bulls,17,241.5,40.9,79.6,.514,1.8,5.4,.326,39.2,74.2,.528,20.3,26.6,.763,12.5,27.7,40.2,25.5,9.5,4.5,12.5,22.2,103.9
Portland Trail Blazers,16,240.0,38.8,82.6,.470,2.8,9.0,.306,36.1,73.6,.490,23.5,31.9,.736,15.1,27.4,42.5,23.5,8.1,3.6,15.0,23.5,103.9
Detroit Pistons,15,241.7,38.5,86.6,.444,3.1,9.7,.317,35.4,76.9,.460,21.1,28.8,.731,16.3,28.4,44.7,20.7,5.3,3.9,11.5,25.9,101.1
Boston Celtics,11,242.3,41.2,83.1,.496,0.9,4.2,.217,40.3,78.9,.510,27.1,33.8,.801,11.5,30.5,42.0,22.1,6.5,3.8,12.7,25.0,110.4
Golden State Warriors,9,242.8,43.8,87.9,.498,4.9,13.0,.376,38.9,74.9,.519,22.0,27.4,.802,9.0,27.8,36.8,24.7,8.6,6.0,12.8,29.8,114.4
Utah Jazz,9,240.0,38.4,81.2,.473,1.9,6.0,.315,36.6,75.2,.486,26.3,31.3,.840,11.1,31.9,43.0,26.2,6.3,3.9,14.2,26.9,105.1
Philadelphia 76ers,8,243.1,36.3,74.8,.485,2.9,8.1,.354,33.4,66.6,.501,25.5,31.9,.800,9.9,27.8,37.6,22.4,8.6,4.4,13.8,20.6,100.9
Indiana Pacers,5,240.0,41.8,84.8,.493,5.2,11.6,.448,36.6,73.2,.500,29.6,35.4,.836,10.6,26.2,36.8,24.2,7.8,4.2,15.0,29.0,118.4
Seattle Supersonics,5,240.0,37.8,82.4,.459,2.6,9.2,.283,35.2,73.2,.481,25.4,31.0,.819,13.4,25.2,38.6,20.8,9.2,4.6,16.2,27.0,103.6
Atlanta Hawks,5,240.0,33.0,82.6,.400,2.6,10.4,.250,30.4,72.2,.421,28.6,34.4,.831,15.0,29.2,44.2,16.8,6.6,2.8,11.6,23.4,97.2
San Antonio Spurs,4,240.0,40.5,83.3,.486,0.8,6.5,.115,39.8,76.8,.518,26.0,34.5,.754,12.0,31.3,43.3,26.5,9.5,5.8,17.3,23.3,107.8
Phoenix Suns,4,240.0,34.0,81.3,.418,2.3,8.5,.265,31.8,72.8,.436,25.5,35.0,.729,10.8,28.3,39.0,22.3,7.0,6.5,13.8,24.5,95.8
Milwaukee Bucks,3,248.3,40.0,84.7,.472,3.7,10.3,.355,36.3,74.3,.489,17.0,23.0,.739,11.7,26.7,38.3,24.3,8.0,1.7,17.0,25.7,100.7
Houston Rockets,3,240.0,38.3,83.0,.462,4.0,13.0,.308,34.3,70.0,.490,12.7,16.3,.776,12.0,28.7,40.7,24.3,7.0,4.3,15.7,24.0,93.3
New York Knicks,3,240.0,32.3,73.0,.443,3.7,9.3,.393,28.7,63.7,.450,17.7,22.0,.803,11.3,27.3,38.7,20.7,5.3,3.7,22.3,27.0,86.0
League Average,9,241.5,39.0,81.9,.475,2.8,8.6,.323,36.2,73.4,.493,23.5,30.1,.780,12.5,28.3,40.8,23.2,7.5,4.3,14.0,24.3,104.2
