Philadelphia 76ers,18,240.0,39.7,84.1,.473,0.4,2.6,.170,39.3,81.4,.482,22.9,29.6,.776,12.1,30.4,42.6,26.0,9.5,8.9,16.7,22.9,102.8
Los Angeles Lakers,16,241.6,44.8,91.9,.487,0.2,1.1,.167,44.6,90.8,.491,20.9,26.3,.798,16.9,32.9,49.9,29.1,10.1,6.1,19.1,24.0,110.6
Seattle Supersonics,15,245.0,40.9,89.9,.455,1.1,3.9,.276,39.8,86.0,.463,19.4,25.3,.768,16.6,29.1,45.7,25.3,8.9,3.5,18.2,24.0,102.2
Boston Celtics,9,240.0,41.3,86.2,.479,1.3,5.4,.245,40.0,80.8,.495,18.4,24.2,.761,13.3,29.4,42.8,23.7,8.1,4.2,16.4,24.8,102.4
Phoenix Suns,8,243.1,44.6,91.3,.489,1.9,7.0,.268,42.8,84.3,.507,18.5,24.0,.771,13.0,27.8,40.8,30.9,9.0,5.4,16.3,22.9,109.6
Milwaukee Bucks,7,247.1,40.6,88.9,.457,1.4,4.1,.345,39.1,84.7,.462,19.7,27.6,.715,13.9,28.0,41.9,24.1,8.9,5.7,17.0,26.9,102.3
Houston Rockets,7,240.0,41.1,86.9,.474,1.0,4.7,.212,40.1,82.1,.489,18.9,23.4,.805,14.6,28.1,42.7,25.1,6.3,4.7,17.3,24.6,102.1
Atlanta Hawks,5,240.0,36.4,81.2,.448,0.2,1.4,.143,36.2,79.8,.454,23.8,32.0,.744,15.0,26.4,41.4,19.4,8.6,5.6,16.4,29.6,96.8
San Antonio Spurs,3,240.0,40.3,87.3,.462,1.0,3.7,.273,39.3,83.7,.470,22.0,28.3,.776,13.7,25.7,39.3,22.7,7.3,4.0,13.7,26.0,103.7
Portland Trail Blazers,3,248.3,42.0,89.0,.472,0.7,4.3,.154,41.3,84.7,.488,15.7,22.0,.712,15.3,25.0,40.3,14.7,7.7,4.0,17.0,24.7,100.3
Kansas City Kings,3,240.0,41.7,90.7,.460,2.0,4.0,.500,39.7,86.7,.458,14.0,22.7,.618,16.7,29.3,46.0,23.3,8.3,2.0,15.7,19.3,99.3
Washington Bullets,2,240.0,40.5,90.0,.450,3.5,9.5,.368,37.0,80.5,.460,15.5,21.0,.738,13.5,27.5,41.0,24.0,6.5,5.0,18.0,28.0,100.0
League Average,8,242.1,41.5,88.1,.471,0.9,3.7,.256,40.5,84.4,.480,20.1,26.2,.765,14.6,29.4,43.9,25.5,8.8,5.5,17.2,24.3,103.9
