Utah Jazz,20,241.3,33.7,74.5,.452,5.0,13.5,.367,28.7,61.0,.470,23.9,30.4,.785,11.4,30.4,41.8,21.8,7.4,4.9,13.3,24.8,96.1
Chicago Bulls,19,240.0,34.7,80.2,.432,6.1,19.2,.319,28.6,61.1,.468,17.1,23.2,.735,14.9,28.6,43.5,20.7,8.5,4.8,12.4,24.3,92.5
Houston Rockets,16,241.6,35.3,77.1,.458,8.9,24.5,.362,26.4,52.6,.503,21.8,28.4,.767,12.3,29.3,41.5,23.1,7.7,4.4,15.2,21.9,101.3
Miami Heat,17,240.0,29.5,72.1,.409,8.4,23.8,.351,21.2,48.3,.438,18.5,26.8,.692,11.1,30.2,41.3,17.2,6.7,5.1,16.2,22.6,85.9
Seattle Supersonics,12,244.2,36.8,82.8,.444,8.3,21.8,.383,28.4,61.1,.465,23.3,28.5,.816,13.9,28.8,42.8,23.4,10.1,4.1,13.6,23.5,105.1
New York Knicks,10,240.0,34.3,73.5,.467,5.5,14.8,.372,28.8,58.7,.491,17.1,22.2,.770,9.7,29.8,39.5,21.1,8.6,3.5,15.7,23.4,91.2
Atlanta Hawks,10,240.0,30.9,70.8,.436,6.9,21.9,.315,24.0,48.9,.491,20.3,26.1,.778,11.0,29.0,40.0,15.4,4.5,4.3,16.1,19.9,89.0
Los Angeles Lakers,9,242.8,32.2,72.1,.447,4.9,15.2,.321,27.3,56.9,.480,25.9,35.0,.740,11.2,27.7,38.9,20.6,6.8,6.1,13.3,26.8,95.2
Phoenix Suns,5,245.0,34.4,82.6,.416,10.2,29.0,.352,24.2,53.6,.451,21.2,27.8,.763,10.0,30.4,40.4,22.8,8.2,5.2,16.2,22.0,100.2
Detroit Pistons,5,240.0,32.4,74.8,.433,5.6,17.0,.329,26.8,57.8,.464,15.2,19.8,.768,8.6,23.2,31.8,13.6,7.0,2.4,9.6,20.2,85.6
Orlando Magic,5,240.0,29.8,73.0,.408,5.8,18.0,.322,24.0,55.0,.436,18.8,25.2,.746,9.6,28.0,37.6,13.2,6.4,5.2,12.4,19.0,84.2
Portland Trail Blazers,4,240.0,32.8,73.0,.449,4.5,17.0,.265,28.3,56.0,.504,19.8,27.3,.725,11.8,25.3,37.0,19.8,5.5,4.3,15.5,28.8,89.8
Minnesota Timberwolves,3,240.0,40.0,88.7,.451,6.3,16.7,.380,33.7,72.0,.468,13.3,18.0,.741,14.0,24.7,38.7,24.0,7.7,4.0,9.3,23.3,99.7
Charlotte Hornets,3,240.0,36.3,80.3,.452,6.3,17.0,.373,30.0,63.3,.474,16.7,20.7,.806,12.7,24.3,37.0,18.3,6.7,3.0,13.3,21.0,95.7
Washington Bullets,3,240.0,34.0,71.7,.474,4.3,10.3,.419,29.7,61.3,.484,22.7,29.0,.782,11.3,24.3,35.7,17.0,4.7,6.3,18.7,25.7,95.0
Los Angeles Clippers,3,240.0,32.7,75.0,.436,6.0,18.0,.333,26.7,57.0,.468,21.0,28.7,.733,10.3,23.0,33.3,16.3,6.3,4.3,12.0,29.0,92.3
League Average,9,241.0,33.5,76.0,.441,6.7,19.2,.347,26.8,56.8,.472,20.3,26.8,.758,11.8,28.6,40.4,20.0,7.4,4.6,14.1,23.4,94.0
