Seattle Supersonics,21,242.4,33.2,70.5,.471,7.0,19.0,.370,26.1,51.5,.508,20.7,27.4,.755,9.2,28.8,38.0,20.2,8.0,4.5,17.7,24.8,94.1
Chicago Bulls,18,241.4,35.3,79.7,.443,6.2,20.2,.306,29.1,59.6,.489,20.7,28.0,.738,16.3,27.3,43.6,22.7,9.5,3.9,14.4,24.8,97.4
Utah Jazz,18,242.8,35.4,75.4,.469,5.4,12.7,.428,29.9,62.7,.477,19.0,26.9,.707,11.3,27.3,38.7,25.2,7.6,5.7,13.2,25.3,95.2
Orlando Magic,12,240.0,38.1,76.3,.499,6.2,18.2,.339,31.9,58.1,.549,15.9,27.2,.586,12.7,25.1,37.8,21.5,6.7,3.3,13.3,22.3,98.3
San Antonio Spurs,10,240.0,34.6,73.4,.471,5.3,11.7,.453,29.3,61.7,.475,19.7,27.7,.711,11.1,27.7,38.8,21.3,7.6,5.2,13.8,21.3,94.2
Atlanta Hawks,10,242.5,33.6,75.7,.444,7.6,20.6,.369,26.0,55.1,.472,17.9,24.4,.734,12.6,23.3,35.9,19.8,8.4,5.3,14.0,22.2,92.7
Houston Rockets,8,243.1,36.4,82.4,.442,7.6,22.9,.333,28.8,59.5,.483,17.4,23.6,.735,9.1,29.4,38.5,24.1,10.0,5.0,13.8,21.1,97.8
New York Knicks,8,243.1,32.0,69.3,.462,6.4,16.1,.395,25.6,53.1,.482,18.3,26.3,.695,8.6,28.4,37.0,18.6,6.5,3.8,17.8,20.3,88.6
Portland Trail Blazers,5,245.0,30.2,76.8,.393,6.6,17.2,.384,23.6,59.6,.396,22.6,34.2,.661,13.8,27.8,41.6,16.8,6.0,3.8,14.0,28.0,89.6
Indiana Pacers,5,245.0,32.4,73.6,.440,3.4,11.4,.298,29.0,62.2,.466,18.8,24.4,.770,14.0,28.2,42.2,17.2,8.4,3.2,18.6,23.2,87.0
Phoenix Suns,4,240.0,37.5,86.0,.436,3.8,13.0,.288,33.8,73.0,.462,20.0,26.3,.762,14.5,27.0,41.5,21.8,5.0,4.3,11.0,21.5,98.8
Los Angeles Lakers,4,240.0,34.5,82.3,.419,8.0,23.0,.348,26.5,59.3,.447,17.8,23.5,.755,12.3,33.5,45.8,22.0,5.8,4.0,16.0,19.8,94.8
Sacramento Kings,4,240.0,32.0,74.0,.432,4.5,16.0,.281,27.5,58.0,.474,19.3,28.5,.675,12.3,30.0,42.3,18.8,8.8,4.8,19.5,25.3,87.8
Detroit Pistons,3,240.0,32.7,72.0,.454,5.0,16.7,.300,27.7,55.3,.500,18.7,24.7,.757,12.0,23.7,35.7,14.3,2.7,1.7,13.3,24.7,89.0
Miami Heat,3,240.0,30.3,72.0,.421,7.3,23.3,.314,23.0,48.7,.473,15.7,22.3,.701,11.3,24.7,36.0,17.0,7.0,1.7,21.0,27.7,83.7
Cleveland Cavaliers,3,240.0,31.3,74.0,.423,5.3,21.0,.254,26.0,53.0,.491,11.7,15.0,.778,11.7,25.3,37.0,19.7,6.3,4.7,13.3,21.0,79.7
League Average,9,241.8,34.3,75.5,.455,6.2,17.5,.353,28.1,58.0,.485,18.9,26.5,.715,11.9,27.4,39.3,21.1,7.7,4.4,15.1,23.5,93.7
