Boston Celtics,23,243.3,42.6,84.5,.504,2.3,6.7,.338,40.3,77.8,.518,25.6,31.7,.809,11.5,29.7,41.1,27.1,5.4,5.0,14.2,23.3,113.1
Los Angeles Lakers,18,240.0,44.8,85.8,.522,2.4,6.6,.361,42.4,79.2,.535,28.6,36.4,.785,13.0,31.9,44.9,28.3,7.9,6.4,14.6,22.7,120.6
Detroit Pistons,15,240.0,43.1,86.5,.499,0.9,3.0,.311,42.2,83.5,.506,22.1,29.7,.744,14.7,29.9,44.6,23.7,6.9,4.9,13.6,25.4,109.3
Seattle Supersonics,14,245.4,43.1,93.6,.461,2.1,6.7,.319,41.0,86.9,.472,21.7,29.0,.749,17.4,26.7,44.1,27.1,8.6,5.6,14.1,29.4,110.1
Milwaukee Bucks,12,248.3,44.1,92.8,.475,1.8,7.0,.262,42.3,85.8,.492,28.2,35.4,.795,13.3,26.4,39.8,24.8,9.8,4.7,12.0,28.1,118.2
Houston Rockets,10,247.5,41.1,83.3,.493,0.8,4.3,.186,40.3,79.0,.510,26.7,34.6,.772,14.1,29.4,43.5,25.2,6.2,7.2,18.1,25.8,109.7
Golden State Warriors,10,240.0,42.2,89.4,.472,2.2,5.1,.431,40.0,84.3,.474,20.5,25.4,.807,14.5,24.2,38.7,25.1,10.2,4.6,15.6,26.9,107.1
Atlanta Hawks,9,240.0,37.2,78.1,.477,0.8,3.4,.226,36.4,74.7,.488,24.9,33.1,.752,14.3,28.0,42.3,26.0,6.6,6.0,15.2,29.0,100.1
Philadelphia 76ers,5,245.0,43.0,86.8,.495,1.0,4.0,.250,42.0,82.8,.507,25.4,32.8,.774,14.4,30.2,44.6,25.2,7.0,8.0,17.2,27.0,112.4
Utah Jazz,5,240.0,37.6,82.6,.455,2.6,6.4,.406,35.0,76.2,.459,23.0,30.2,.762,14.4,28.2,42.6,21.8,9.4,8.6,17.6,23.2,100.8
Dallas Mavericks,4,240.0,43.8,89.0,.492,0.5,6.3,.080,43.3,82.8,.523,28.5,38.0,.750,15.3,29.5,44.8,22.0,6.8,4.3,14.8,24.8,116.5
Portland Trail Blazers,4,240.0,40.3,86.3,.467,1.0,3.8,.267,39.3,82.5,.476,27.3,35.5,.768,15.3,27.3,42.5,22.8,8.5,3.8,15.3,26.5,108.8
Indiana Pacers,4,240.0,34.5,72.0,.479,0.8,4.5,.167,33.8,67.5,.500,25.3,36.5,.692,9.8,28.8,38.5,21.3,5.0,1.5,14.8,28.0,95.0
Denver Nuggets,3,240.0,44.3,101.7,.436,1.3,6.0,.222,43.0,95.7,.449,18.3,28.0,.655,15.3,29.3,44.7,26.7,7.3,3.7,14.7,29.3,108.3
Chicago Bulls,3,240.0,35.3,81.0,.436,2.3,5.3,.438,33.0,75.7,.436,25.0,29.3,.852,13.0,25.0,38.0,21.3,5.7,4.3,11.7,25.3,98.0
Washington Bullets,3,240.0,35.3,87.0,.406,1.0,4.3,.231,34.3,82.7,.415,19.3,25.3,.763,14.0,28.0,42.0,15.3,8.0,4.7,16.7,20.3,91.0
League Average,9,242.5,41.9,86.5,.485,1.7,5.5,.307,40.3,81.0,.497,24.8,32.1,.773,13.9,28.6,42.5,25.3,7.4,5.4,14.7,25.7,110.4
