Boston Celtics,23,243.3,41.3,87.4,.473,0.9,2.7,.339,40.4,84.7,.477,27.3,34.9,.784,15.5,28.4,43.9,23.0,8.6,5.3,16.0,26.4,110.9
Los Angeles Lakers,21,244.8,47.8,89.5,.534,1.0,3.5,.284,46.8,86.0,.544,20.6,28.6,.719,13.1,29.9,43.0,30.3,8.2,6.8,16.0,27.0,117.1
Phoenix Suns,17,242.9,43.5,87.3,.498,0.9,2.9,.320,42.5,84.4,.504,21.1,27.6,.764,13.6,29.5,43.2,27.1,7.8,4.8,16.1,27.2,109.0
Milwaukee Bucks,16,240.0,37.8,78.4,.482,1.3,4.7,.280,36.5,73.8,.495,25.6,33.9,.755,12.4,30.3,42.6,22.2,7.2,5.0,18.2,29.4,102.5
New York Knicks,12,242.1,41.2,84.5,.487,0.4,2.0,.208,40.8,82.5,.494,23.8,31.8,.751,14.8,27.2,41.9,23.7,8.1,4.5,18.3,29.2,106.6
Utah Jazz,11,242.3,41.2,85.3,.483,1.9,5.3,.362,39.3,80.0,.491,26.5,33.8,.782,13.2,30.3,43.5,23.9,6.6,6.1,17.1,24.1,110.7
New Jersey Nets,11,240.0,37.5,84.5,.445,1.0,3.9,.256,36.5,80.5,.454,25.1,36.5,.687,16.6,26.8,43.5,22.0,9.9,5.2,17.5,26.9,101.2
Dallas Mavericks,10,245.0,39.7,90.1,.441,0.5,3.0,.167,39.2,87.1,.450,21.8,26.1,.835,15.9,27.3,43.2,21.7,5.7,3.6,13.1,21.5,101.7
Denver Nuggets,5,240.0,48.0,94.8,.506,2.0,7.4,.270,46.0,87.4,.526,23.8,27.6,.862,13.2,28.8,42.0,27.0,8.4,4.6,15.2,28.4,121.8
Detroit Pistons,5,245.0,41.8,89.8,.465,0.4,1.8,.222,41.4,88.0,.470,28.2,36.2,.779,16.4,28.2,44.6,21.4,8.8,4.8,16.6,26.6,112.2
Portland Trail Blazers,5,240.0,40.2,84.2,.477,0.6,2.4,.250,39.6,81.8,.484,28.8,37.4,.770,15.8,24.2,40.0,21.8,7.2,2.6,14.0,26.8,109.8
Philadelphia 76ers,5,240.0,39.2,81.2,.483,0.6,3.0,.200,38.6,78.2,.494,24.8,28.4,.873,11.8,25.6,37.4,20.2,8.2,7.4,22.0,27.8,103.8
Seattle Supersonics,5,245.0,41.8,88.2,.474,0.8,4.0,.200,41.0,84.2,.487,12.6,17.6,.716,12.2,32.0,44.2,24.6,6.0,4.6,11.8,25.6,97.0
Atlanta Hawks,5,240.0,34.0,80.8,.421,0.4,2.2,.182,33.6,78.6,.427,25.2,31.8,.792,13.6,24.4,38.0,20.6,7.8,4.6,16.2,25.4,93.6
Washington Bullets,4,246.3,38.8,79.8,.486,1.0,4.3,.235,37.8,75.5,.500,15.3,18.0,.847,10.0,27.8,37.8,24.8,5.3,3.8,15.3,25.3,93.8
Kansas City Kings,3,240.0,40.0,93.7,.427,1.7,5.0,.333,38.3,88.7,.432,21.3,27.3,.780,16.3,25.7,42.0,26.0,6.0,3.7,14.0,25.7,103.0
League Average,10,242.5,41.5,86.1,.482,1.0,3.5,.279,40.5,82.6,.490,23.7,30.9,.767,14.1,28.5,42.6,24.3,7.7,5.1,16.3,26.7,107.6
