Philadelphia 76ers,21,241.2,41.9,85.4,.491,0.4,1.6,.265,41.5,83.8,.495,21.5,29.0,.742,13.9,26.7,40.6,26.5,8.4,7.5,17.1,27.4,105.7
Los Angeles Lakers,14,240.0,47.2,91.3,.517,0.1,0.9,.167,47.1,90.4,.521,20.9,28.9,.723,16.5,31.4,47.9,31.4,10.0,7.4,18.1,24.4,115.4
Boston Celtics,12,246.3,41.4,89.5,.463,0.4,2.3,.185,41.0,87.3,.470,22.6,30.8,.732,18.0,32.5,50.5,23.4,7.4,9.4,18.1,27.0,105.8
San Antonio Spurs,9,240.0,43.0,93.4,.460,0.6,3.1,.179,42.4,90.3,.470,20.8,28.2,.736,16.9,30.4,47.3,29.1,7.3,4.9,16.1,26.4,107.3
Seattle Supersonics,8,240.0,38.3,86.3,.443,0.5,1.6,.308,37.8,84.6,.446,22.5,29.3,.769,15.4,30.5,45.9,26.0,7.5,4.4,14.4,24.6,99.5
Phoenix Suns,7,240.0,46.3,95.0,.487,0.7,3.0,.238,45.6,92.0,.495,16.7,22.4,.745,15.6,26.4,42.0,28.6,10.6,6.7,17.3,24.4,110.0
Washington Bullets,7,250.7,38.6,89.3,.432,1.4,3.6,.400,37.1,85.7,.433,21.6,27.7,.778,14.7,29.0,43.7,21.4,7.7,4.6,18.3,27.0,100.1
Milwaukee Bucks,6,240.0,38.7,81.8,.473,1.3,4.0,.333,37.3,77.8,.480,23.8,33.2,.719,15.8,22.3,38.2,23.7,7.3,5.7,16.8,28.5,102.5
Denver Nuggets,3,240.0,48.0,97.0,.495,0.3,2.7,.125,47.7,94.3,.505,23.0,27.7,.831,14.0,26.0,40.0,24.7,8.7,3.7,14.7,25.3,119.3
Houston Rockets,3,240.0,35.7,90.3,.395,0.0,3.0,.000,35.7,87.3,.408,15.7,20.3,.770,18.7,27.0,45.7,19.3,5.3,5.7,9.3,22.0,87.0
New Jersey Nets,2,240.0,37.0,87.0,.425,1.0,4.5,.222,36.0,82.5,.436,12.5,20.5,.610,13.0,27.0,40.0,19.5,9.5,4.5,16.0,26.0,87.5
Atlanta Hawks,2,252.5,31.5,75.0,.420,0.0,1.5,.000,31.5,73.5,.429,22.5,30.0,.750,13.0,22.5,35.5,16.5,5.0,6.0,19.5,30.5,85.5
League Average,8,242.1,42.0,88.8,.473,0.5,2.3,.239,41.4,86.5,.479,21.0,28.4,.742,15.6,28.6,44.2,26.0,8.2,6.5,16.8,26.2,105.5
