Philadelphia 76ers,19,240.0,42.2,89.2,.473,,,,42.2,89.2,.473,23.3,32.7,.712,13.2,31.5,44.7,22.6,9.3,5.7,19.4,25.3,107.6
Portland Trail Blazers,19,241.3,44.1,89.5,.493,,,,44.1,89.5,.493,19.2,26.4,.727,12.2,33.0,45.2,27.7,10.8,6.7,22.3,28.9,107.4
Houston Rockets,12,242.1,45.8,92.6,.494,,,,45.8,92.6,.494,17.4,23.6,.739,16.7,29.7,46.3,23.3,7.8,3.4,18.1,25.4,108.9
Los Angeles Lakers,11,240.0,40.7,87.2,.467,,,,40.7,87.2,.467,21.9,29.0,.755,14.5,32.4,46.8,23.7,10.5,5.6,20.0,22.5,103.4
Golden State Warriors,10,240.0,43.8,96.1,.456,,,,43.8,96.1,.456,18.0,23.3,.773,19.2,31.4,50.6,24.4,8.7,4.1,18.0,24.3,105.6
Washington Bullets,9,242.8,41.4,89.0,.466,,,,41.4,89.0,.466,21.4,30.1,.712,12.7,31.6,44.2,21.1,6.4,4.9,17.4,22.9,104.3
Boston Celtics,9,240.0,41.1,94.7,.434,,,,41.1,94.7,.434,21.8,27.3,.797,15.0,34.6,49.6,25.6,6.6,2.9,20.1,27.3,104.0
Denver Nuggets,6,244.2,39.8,88.7,.449,,,,39.8,88.7,.449,25.2,36.2,.696,15.3,32.2,47.5,25.2,9.7,6.8,20.0,27.7,104.8
Detroit Pistons,3,240.0,42.0,90.0,.467,,,,42.0,90.0,.467,17.3,26.7,.650,15.7,31.7,47.3,23.0,7.3,6.7,19.0,24.3,101.3
Cleveland Cavaliers,3,240.0,41.0,102.0,.402,,,,41.0,102.0,.402,14.3,21.0,.683,18.7,34.7,53.3,23.0,8.7,5.3,16.0,29.0,96.3
Chicago Bulls,3,240.0,35.3,79.3,.445,,,,35.3,79.3,.445,25.3,30.0,.844,16.0,29.7,45.7,22.0,10.3,4.7,27.3,22.3,96.0
San Antonio Spurs,2,240.0,41.0,92.0,.446,,,,41.0,92.0,.446,19.5,31.0,.629,11.5,26.5,38.0,23.5,8.0,4.0,18.0,26.0,101.5
League Average,9,240.9,42.4,90.7,.468,,,,42.4,90.7,.468,20.6,28.2,.732,14.6,31.9,46.5,24.2,9.0,5.2,19.7,25.7,105.4
