Seattle Supersonics,22,241.1,39.7,89.2,.445,,,,39.7,89.2,.445,23.5,32.2,.728,17.0,30.7,47.8,18.7,6.7,5.6,16.3,25.0,102.9
Washington Bullets,21,243.6,43.4,95.6,.454,,,,43.4,95.6,.454,20.7,29.7,.697,17.2,32.2,49.4,23.9,8.5,4.5,16.5,26.2,107.6
Denver Nuggets,13,240.0,43.8,95.8,.457,,,,43.8,95.8,.457,22.9,29.2,.786,17.1,32.5,49.6,27.5,7.0,4.8,18.8,27.8,110.6
Philadelphia 76ers,10,242.5,43.8,93.2,.470,,,,43.8,93.2,.470,26.8,34.2,.784,14.8,36.8,51.6,26.1,8.4,7.5,20.1,27.2,114.4
Milwaukee Bucks,9,240.0,46.2,91.8,.504,,,,46.2,91.8,.504,20.0,27.9,.717,13.1,30.4,43.6,31.3,9.7,7.1,18.8,24.2,112.4
New York Knicks,6,240.0,46.8,98.5,.475,,,,46.8,98.5,.475,17.0,23.7,.718,16.0,28.2,44.2,28.5,8.7,4.7,18.5,30.3,110.7
San Antonio Spurs,6,240.0,45.7,93.7,.488,,,,45.7,93.7,.488,16.5,22.5,.733,13.3,32.0,45.3,23.0,7.7,9.3,16.0,25.2,107.8
Portland Trail Blazers,6,240.0,39.5,84.8,.466,,,,39.5,84.8,.466,17.7,23.8,.741,10.7,29.2,39.8,21.3,6.2,3.7,16.2,26.3,96.7
Los Angeles Lakers,3,240.0,42.3,93.7,.452,,,,42.3,93.7,.452,14.3,21.0,.683,20.3,28.3,48.7,23.7,8.7,6.0,18.7,26.7,99.0
Cleveland Cavaliers,2,240.0,42.5,93.5,.455,,,,42.5,93.5,.455,25.5,33.0,.773,15.5,24.5,40.0,19.5,6.5,4.0,17.0,24.0,110.5
Atlanta Hawks,2,252.5,41.0,88.5,.463,,,,41.0,88.5,.463,16.5,25.0,.660,12.5,27.0,39.5,15.5,9.5,5.0,16.5,30.5,98.5
Phoenix Suns,2,240.0,40.5,94.5,.429,,,,40.5,94.5,.429,15.5,19.0,.816,13.5,25.5,39.0,26.5,10.0,3.0,16.0,21.0,96.5
League Average,9,241.5,42.9,92.8,.462,,,,42.9,92.8,.462,21.2,28.8,.735,15.8,31.3,47.1,24.0,7.8,5.6,17.4,26.2,107.0
