Houston Rockets,21,240.0,39.0,85.5,.456,0.4,1.5,.250,38.6,84.0,.460,19.7,26.2,.751,14.7,26.0,40.8,22.6,8.3,5.4,14.1,22.2,98.0
Boston Celtics,17,240.0,41.2,85.7,.480,0.6,2.6,.222,40.6,83.1,.489,20.4,27.1,.754,14.5,29.9,44.4,22.8,7.5,6.6,16.3,24.7,103.4
Philadelphia 76ers,16,240.0,39.8,81.8,.487,0.1,1.0,.063,39.8,80.8,.492,24.6,31.9,.773,12.8,28.1,40.9,24.3,8.2,8.6,18.3,26.3,104.3
Kansas City Kings,15,243.3,36.9,79.3,.466,0.9,3.2,.271,36.1,76.1,.474,16.9,23.6,.718,11.9,27.7,39.5,23.5,8.8,4.3,16.8,23.3,91.7
San Antonio Spurs,7,240.0,42.6,86.9,.490,0.3,1.7,.167,42.3,85.1,.497,22.3,29.9,.746,14.3,28.0,42.3,25.7,5.9,6.7,15.3,24.7,107.7
Milwaukee Bucks,7,240.0,41.7,87.3,.478,0.4,1.6,.273,41.3,85.7,.482,23.1,30.3,.764,17.7,25.6,43.3,27.0,10.1,5.3,17.0,27.9,107.0
Phoenix Suns,7,240.0,36.0,80.1,.449,0.9,2.3,.375,35.1,77.9,.451,18.9,27.4,.688,14.1,31.1,45.3,19.0,7.1,3.7,16.4,23.9,91.7
Chicago Bulls,6,244.2,41.3,88.2,.469,0.5,3.8,.130,40.8,84.3,.484,20.3,26.7,.763,16.5,28.0,44.5,20.8,7.8,5.0,16.5,25.0,103.5
Portland Trail Blazers,3,256.7,44.7,92.0,.486,0.3,1.3,.250,44.3,90.7,.489,15.7,23.3,.671,14.0,32.0,46.0,21.7,10.3,5.3,17.7,20.3,105.3
Los Angeles Lakers,3,240.0,39.3,85.0,.463,0.0,1.3,.000,39.3,83.7,.470,22.7,33.0,.687,14.3,36.7,51.0,24.0,7.0,5.7,14.3,23.0,101.3
New York Knicks,2,252.5,37.5,85.5,.439,0.5,5.0,.100,37.0,80.5,.460,21.5,31.5,.683,15.5,26.0,41.5,18.5,10.0,2.0,21.0,28.5,97.0
Indiana Pacers,2,240.0,37.5,91.0,.412,1.0,3.0,.333,36.5,88.0,.415,20.5,28.5,.719,18.5,28.0,46.5,23.0,11.0,2.5,19.5,25.5,96.5
League Average,9,241.4,39.6,84.4,.470,0.5,2.1,.220,39.2,82.2,.476,20.6,27.7,.742,14.3,28.3,42.5,23.1,8.2,5.7,16.4,24.3,100.3
