Los Angeles Lakers,15,241.7,44.9,89.8,.500,0.5,2.5,.189,44.5,87.3,.509,19.3,25.8,.749,14.3,28.6,42.9,29.9,9.4,7.5,17.3,25.2,109.7
Philadelphia 76ers,13,241.9,41.8,84.6,.494,0.1,0.8,.100,41.7,83.8,.497,22.2,30.7,.722,15.5,29.4,44.9,24.2,9.3,6.8,18.1,23.2,105.8
San Antonio Spurs,11,242.3,50.2,99.1,.506,1.9,5.4,.356,48.3,93.7,.515,18.7,24.9,.752,15.5,35.9,51.4,33.4,7.9,7.1,17.3,25.5,121.0
Denver Nuggets,8,246.3,47.1,98.3,.480,0.6,2.8,.227,46.5,95.5,.487,22.0,27.8,.793,13.1,33.6,46.8,31.5,6.5,4.5,16.8,25.1,116.9
Milwaukee Bucks,9,242.8,40.8,87.7,.465,0.6,2.3,.238,40.2,85.3,.471,19.4,26.4,.735,17.0,28.6,45.6,21.9,8.6,6.8,16.3,23.6,101.6
Portland Trail Blazers,7,243.6,42.3,87.1,.485,0.7,1.6,.455,41.6,85.6,.486,20.6,28.3,.727,13.4,28.0,41.4,28.3,6.7,4.0,16.1,23.1,105.9
Boston Celtics,7,240.0,38.9,88.6,.439,0.6,3.6,.160,38.3,85.0,.450,17.7,23.1,.765,14.3,30.4,44.7,25.9,6.7,3.6,15.7,23.4,96.0
New York Knicks,6,240.0,39.7,82.2,.483,1.2,3.2,.368,38.5,79.0,.487,23.3,30.5,.765,12.7,26.2,38.8,22.7,7.3,4.2,17.0,25.8,103.8
Phoenix Suns,3,248.3,45.7,102.0,.448,0.3,2.7,.125,45.3,99.3,.456,19.0,25.0,.760,16.3,34.0,50.3,26.3,8.7,8.3,13.3,25.7,110.7
Atlanta Hawks,3,240.0,36.0,82.3,.437,0.3,1.3,.250,35.7,81.0,.440,17.3,23.7,.732,11.0,30.3,41.3,21.3,4.3,6.7,16.0,22.7,89.7
New Jersey Nets,2,240.0,42.0,90.0,.467,0.5,4.0,.125,41.5,86.0,.483,18.5,25.0,.740,17.0,26.0,43.0,26.0,9.0,5.5,16.5,28.5,103.0
Seattle Supersonics,2,240.0,39.5,97.5,.405,0.0,3.0,.000,39.5,94.5,.418,17.5,25.0,.700,20.5,33.5,54.0,21.5,5.5,3.5,11.5,26.5,96.5
League Average,7,242.3,43.3,90.3,.480,0.7,2.7,.252,42.7,87.6,.487,20.0,26.8,.747,14.8,30.3,45.1,27.1,8.0,6.0,16.7,24.5,107.4
