Houston Rockets,22,242.3,38.6,79.9,.483,8.6,22.0,.391,30.0,57.9,.518,21.2,28.1,.754,9.6,29.5,39.1,25.2,7.6,5.8,12.0,24.8,107.0
Orlando Magic,21,241.2,37.2,77.3,.482,8.5,21.4,.396,28.8,55.9,.514,19.5,29.1,.669,12.8,27.4,40.2,23.2,7.3,5.2,14.6,23.9,102.4
Indiana Pacers,17,241.5,33.9,73.9,.459,5.5,15.4,.360,28.4,58.6,.485,25.2,32.8,.770,13.4,28.1,41.4,20.6,5.5,3.4,15.7,27.0,98.6
San Antonio Spurs,15,243.3,35.4,79.1,.447,4.0,11.9,.335,31.4,67.2,.467,23.7,31.1,.760,13.4,31.5,44.9,21.5,7.1,5.1,14.7,22.8,98.5
Phoenix Suns,10,242.5,39.2,81.2,.483,6.4,18.5,.346,32.8,62.7,.523,26.2,32.9,.796,12.5,32.7,45.2,21.7,6.4,3.2,12.7,24.6,111.0
New York Knicks,11,242.3,33.5,69.5,.481,7.2,17.0,.422,26.3,52.5,.500,19.2,27.9,.687,9.7,27.0,36.7,22.7,7.0,6.3,16.5,27.6,93.3
Chicago Bulls,10,242.5,37.0,79.9,.463,6.1,15.5,.394,30.9,64.4,.480,18.3,25.0,.732,12.5,26.7,39.2,23.9,7.6,4.2,13.9,26.4,98.4
Los Angeles Lakers,10,245.0,32.5,78.2,.416,6.5,20.0,.325,26.0,58.2,.447,19.2,27.3,.703,12.4,26.6,39.0,19.9,7.4,7.3,14.5,24.4,90.7
Utah Jazz,5,240.0,36.4,75.0,.485,6.2,13.8,.449,30.2,61.2,.493,25.0,34.4,.727,10.2,25.8,36.0,24.0,8.0,3.6,12.8,27.0,104.0
Seattle Supersonics,4,240.0,35.8,80.5,.444,7.5,18.0,.417,28.3,62.5,.452,18.3,24.0,.760,14.5,27.3,41.8,26.0,9.3,5.3,14.8,25.8,97.3
Charlotte Hornets,4,246.3,31.5,74.3,.424,5.3,16.8,.313,26.3,57.5,.457,24.3,30.0,.808,13.5,23.8,37.3,21.3,6.0,5.0,15.8,23.5,92.5
Boston Celtics,4,240.0,31.8,79.0,.402,5.3,14.0,.375,26.5,65.0,.408,17.5,23.5,.745,16.5,26.0,42.5,20.3,5.3,4.5,17.5,25.0,86.3
Cleveland Cavaliers,4,240.0,27.3,66.8,.408,6.3,15.0,.417,21.0,51.8,.406,21.8,29.3,.744,7.3,21.5,28.8,17.5,10.0,2.8,15.3,21.5,82.5
Portland Trail Blazers,3,240.0,38.3,80.0,.479,5.3,14.3,.372,33.0,65.7,.503,19.7,31.7,.621,11.3,24.7,36.0,21.3,6.0,3.0,11.0,28.7,101.7
Denver Nuggets,3,240.0,33.3,77.7,.429,4.3,17.7,.245,29.0,60.0,.483,22.0,28.0,.786,14.0,27.0,41.0,20.0,6.0,7.0,17.3,35.0,93.0
Atlanta Hawks,3,240.0,29.7,75.7,.392,7.3,22.3,.328,22.3,53.3,.419,22.7,31.0,.731,12.3,26.7,39.0,14.7,8.3,2.7,13.0,28.3,89.3
League Average,9,242.1,35.5,77.1,.460,6.6,17.7,.375,28.9,59.4,.486,21.6,29.3,.736,12.1,28.0,40.1,22.3,7.1,4.9,14.3,25.3,99.3
